lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,previous_stays,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,average_daily_rate,total_of_special_requests
21,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,2
21,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,2
21,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,2
21,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,2
31,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,1
45,0,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,55.95,1
52,2,5,2,0,0,HB,Direct,0,F,0,No Deposit,0,87.53,0
23,0,2,2,0,0,BB,Direct,0,D,0,No Deposit,0,41.4,0
22,2,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,52.4,2
22,2,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,52.4,2
59,2,1,1,0,0,HB,Online TA,0,A,1,No Deposit,0,48.4,2
59,2,1,2,0,0,HB,Online TA,0,A,2,No Deposit,0,68.45,2
59,2,1,2,0,0,HB,Online TA,0,A,2,No Deposit,0,68.45,2
54,2,1,2,0,0,HB,Online TA,0,A,1,No Deposit,0,72.5,2
59,2,1,2,0,0,HB,Online TA,0,A,2,No Deposit,0,68.45,2
59,2,1,2,0,0,HB,Online TA,0,A,2,No Deposit,0,68.45,2
33,2,1,2,0,0,HB,Direct,0,F,0,No Deposit,0,109,2
31,2,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,65.7,2
183,8,20,2,0,0,BB,Online TA,0,E,0,No Deposit,0,44.5,1
140,0,0,2,0,0,HB,Online TA,0,F,0,No Deposit,0,0,1
192,0,1,2,0,0,BB,Online TA,0,A,2,No Deposit,0,32.4,2
126,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,24.95,1
56,2,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,58.7,1
194,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,28.33,0
103,1,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,26.95,1
71,0,0,2,0,0,BB,Online TA,0,A,1,No Deposit,0,0,0
261,2,7,2,0,0,BB,Online TA,0,D,0,No Deposit,0,38.7,2
113,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,2
60,0,1,2,0,0,BB,Online TA,0,E,1,No Deposit,0,56.7,2
86,2,3,2,0,0,BB,Online TA,0,E,1,No Deposit,0,56.4,0
39,2,1,2,0,0,BB,Online TA,0,D,1,No Deposit,0,46.4,1
48,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,48,0
126,1,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,58.52,0
49,3,5,1,0,0,BB,Online TA,0,E,0,No Deposit,0,46.27,1
119,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,24.95,1
60,2,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,36,0
139,0,4,1,0,0,BB,Online TA,0,A,0,No Deposit,0,25.11,1
83,0,3,1,0,0,BB,Online TA,0,A,1,No Deposit,0,43.57,2
119,0,4,2,0,0,HB,Online TA,0,E,1,No Deposit,0,85.2,1
49,0,0,2,0,0,HB,Online TA,0,F,1,No Deposit,0,0,0
49,0,0,2,1,0,HB,Online TA,0,F,1,No Deposit,0,0,1
48,1,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,75.2,2
111,2,4,1,0,0,BB,Online TA,0,A,1,No Deposit,0,38.29,1
99,2,4,1,0,0,BB,Online TA,0,A,0,No Deposit,0,37.67,1
65,2,8,2,0,0,BB,Online TA,0,E,0,No Deposit,0,82.17,1
45,0,2,2,0,0,BB,Direct,0,A,0,No Deposit,0,31,0
44,0,2,1,0,0,BB,Direct,0,A,0,No Deposit,0,27,0
45,0,2,3,0,0,BB,Direct,0,A,0,No Deposit,0,44,1
66,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,43.2,1
59,0,3,2,0,0,BB,Direct,0,A,1,No Deposit,0,45,1
155,0,3,2,0,1,BB,Direct,0,C,0,No Deposit,0,47.6,3
59,0,3,2,0,0,BB,Direct,0,D,1,No Deposit,0,51,0
155,0,3,3,0,0,BB,Direct,0,G,0,No Deposit,0,73.1,2
127,2,5,2,2,0,BB,Online TA,0,G,0,No Deposit,0,94.36,1
131,2,5,2,2,0,BB,Online TA,0,G,0,No Deposit,0,90.07,0
127,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,37.29,1
57,2,6,2,0,0,BB,Online TA,0,D,0,No Deposit,0,68.55,0
178,0,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,29.16,0
51,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,89.25,0
93,2,3,2,0,1,BB,Online TA,0,A,1,No Deposit,0,48.42,1
112,2,4,2,2,0,BB,Online TA,0,G,0,No Deposit,0,92.55,1
129,4,6,2,0,0,BB,Online TA,0,E,0,No Deposit,0,71.88,0
62,2,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,33.26,0
62,2,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,39.26,1
90,1,4,2,0,0,BB,Direct,0,E,0,No Deposit,0,125.51,0
118,2,5,1,2,0,BB,Online TA,0,G,0,No Deposit,0,99.51,1
49,1,3,2,0,0,BB,Online TA,0,D,0,No Deposit,0,89.5,2
53,1,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,81.9,1
94,2,7,2,0,0,BB,Online TA,0,E,0,No Deposit,0,73.7,1
76,0,3,2,1,0,HB,Direct,0,A,0,No Deposit,0,204.33,1
65,0,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,102.6,2
65,0,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,102.6,2
52,0,1,2,0,0,HB,Direct,0,E,1,No Deposit,0,332,1
86,0,2,2,0,0,BB,Direct,0,A,3,No Deposit,0,73.35,1
90,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,66.02,0
161,0,2,2,1,0,HB,Online TA,0,G,1,No Deposit,0,136.1,0
86,0,2,3,0,0,BB,Direct,0,A,1,No Deposit,0,103.35,2
69,0,3,2,0,0,BB,Direct,0,D,0,No Deposit,0,154.98,2
72,0,3,2,1,0,BB,Online TA,0,A,0,No Deposit,0,95.07,1
69,0,3,2,0,0,BB,Direct,0,D,0,No Deposit,0,160.98,2
79,0,3,2,0,0,BB,Direct,0,E,0,No Deposit,0,169.48,0
69,0,3,2,1,0,BB,Direct,0,D,0,No Deposit,0,199.73,3
70,0,3,2,0,0,BB,Direct,0,D,0,No Deposit,0,154.98,0
109,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,59.94,1
109,0,1,2,2,0,BB,Online TA,0,H,0,No Deposit,0,116.1,1
88,0,2,2,0,0,HB,Online TA,0,A,0,No Deposit,0,73.46,2
88,0,2,2,1,0,HB,Online TA,0,A,0,No Deposit,0,90.17,2
110,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,46.93,3
86,0,1,2,0,0,HB,Online TA,0,A,0,No Deposit,0,79.5,1
187,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,41.4,1
85,0,4,2,0,0,BB,Online TA,0,D,2,No Deposit,0,47.4,1
169,2,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,50.4,1
0,0,0,2,0,0,BB,Online TA,0,D,0,No Deposit,0,0,1
23,0,1,2,0,0,BB,Direct,0,E,0,No Deposit,0,48,0
101,0,2,2,0,0,HB,Online TA,0,E,0,No Deposit,0,66.98,0
160,1,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,36.86,1
154,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,35.16,2
154,0,1,2,0,0,BB,Online TA,0,A,0,No Deposit,0,29.16,2
1,0,1,2,0,0,BB,Direct,0,G,0,No Deposit,0,75,0
101,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,43.2,1
116,0,4,2,0,0,BB,Direct,0,F,0,No Deposit,0,56.1,1
168,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,36.86,1
143,1,1,2,0,0,BB,Online TA,0,D,0,No Deposit,0,41.4,1
143,1,1,2,0,0,BB,Online TA,0,D,0,No Deposit,0,41.4,1
117,1,3,2,0,0,BB,Online TA,0,D,0,No Deposit,0,43.4,2
152,1,3,2,0,0,BB,Online TA,0,D,1,No Deposit,0,67.88,2
103,0,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,0
103,0,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,67.2,1
103,2,4,1,0,0,BB,Online TA,0,A,0,No Deposit,0,35.1,0
230,1,2,2,0,0,BB,Online TA,0,D,0,No Deposit,0,31.88,3
203,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,23.7,1
103,1,0,1,0,0,BB,Online TA,0,A,0,No Deposit,0,45,1
117,2,4,2,1,0,BB,Online TA,0,A,1,No Deposit,0,61.5,2
192,1,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,50.4,2
188,1,5,2,1,0,BB,Online TA,0,G,1,No Deposit,0,59.6,3
232,2,6,2,0,0,BB,Online TA,0,E,0,No Deposit,0,38.81,1
131,0,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,56.4,1
100,2,1,2,0,0,BB,Direct,0,D,0,No Deposit,0,38.32,1
709,8,20,2,0,0,HB,Direct,0,E,2,No Deposit,0,68,0
211,2,5,1,0,0,BB,Online TA,0,A,1,No Deposit,0,25.11,2
0,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,40,0
190,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,41.4,2
190,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,41.4,2
176,0,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,42.45,1
250,2,9,2,0,0,BB,Direct,0,F,1,No Deposit,0,60.74,1
1,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,40,0
148,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,40.5,0
157,2,6,2,0,0,BB,Online TA,0,A,0,No Deposit,0,40.68,2
143,0,1,2,0,0,BB,Online TA,0,E,0,No Deposit,0,61.2,1
177,2,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,43.25,1
207,2,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,70.91,0
194,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,39.27,2
140,2,5,2,0,0,BB,Direct,0,E,0,No Deposit,0,52.68,0
153,2,6,2,0,0,BB,Online TA,0,D,0,No Deposit,0,54.9,1
141,0,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,0,1
136,0,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,56,2
136,0,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,56,2
192,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,50.4,2
192,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,50.4,2
156,1,4,2,0,0,BB,Direct,0,A,0,No Deposit,0,53.94,0
163,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,60.2,2
175,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,1
222,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,42.19,2
222,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,42.19,2
186,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,1
210,0,0,2,0,0,BB,Online TA,0,D,0,No Deposit,0,0,1
149,2,6,2,2,0,HB,Direct,0,C,0,No Deposit,0,118,0
214,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,2
214,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,2
187,3,7,2,0,0,HB,Online TA,0,E,1,No Deposit,0,108,2
192,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,0
229,2,6,2,0,0,BB,Direct,0,D,1,No Deposit,0,62.05,0
200,2,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,58.2,1
218,2,1,2,0,0,BB,Direct,0,F,1,No Deposit,0,83,1
215,3,7,2,0,0,BB,Direct,0,D,0,No Deposit,0,62.05,2
215,3,7,2,0,0,BB,Direct,0,D,0,No Deposit,0,62.05,2
206,0,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,52.98,2
206,0,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,46.98,2
41,2,5,2,0,0,FB,Online TA,0,E,1,No Deposit,0,122,1
197,1,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,49.3,0
200,1,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,79.2,2
173,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
215,1,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,52.2,1
203,1,5,2,0,0,BB,Online TA,0,A,3,No Deposit,0,46.98,1
188,0,4,2,0,0,BB,Online TA,0,D,0,No Deposit,0,71.7,0
209,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,48.98,2
189,1,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,64,2
209,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
209,1,3,2,0,0,BB,Online TA,0,A,0,No Deposit,0,48.98,2
179,2,6,2,0,0,BB,Online TA,0,E,0,No Deposit,0,79.2,1
232,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,50.59,1
232,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,41.62,1
235,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,65.7,2
29,0,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,0
189,2,5,2,0,0,HB,Online TA,0,E,0,No Deposit,0,118,2
189,2,5,2,0,0,HB,Online TA,0,E,0,No Deposit,0,124,2
206,4,6,2,0,0,BB,Online TA,0,E,0,No Deposit,0,59.93,0
205,4,6,1,0,0,BB,Online TA,0,A,1,No Deposit,0,54,1
201,3,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
189,3,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,48.08,1
201,3,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
201,3,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
201,3,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,2
191,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,46.98,1
193,2,6,2,0,0,BB,Online TA,0,A,1,No Deposit,0,50.02,1
5,1,1,3,0,0,BB,Direct,0,H,0,No Deposit,0,135.6,0
210,1,1,2,0,0,BB,Direct,0,F,0,No Deposit,0,89.3,0
192,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,65,2
236,4,6,2,0,0,HB,Online TA,0,G,0,No Deposit,0,113.57,2
233,1,5,2,0,0,HB,Online TA,0,A,0,No Deposit,0,85.2,1
257,3,8,2,0,0,HB,Direct,0,D,0,No Deposit,0,107,0
206,2,5,2,0,0,HB,Direct,0,A,0,No Deposit,0,79.3,2
222,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.98,1
223,2,6,2,0,0,BB,Online TA,0,A,0,No Deposit,0,52.2,1
257,0,2,2,2,0,BB,Online TA,0,G,0,No Deposit,0,101.7,0
197,4,10,2,0,0,BB,Online TA,0,A,0,No Deposit,0,71.96,1
204,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,59.28,2
204,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,57.28,2
204,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,57.28,2
215,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,66.34,1
215,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,68.06,1
215,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,66.34,1
290,0,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,95.04,3
217,1,4,2,0,0,HB,Direct,0,A,0,No Deposit,0,148,0
294,2,7,2,0,0,BB,Direct,0,A,0,No Deposit,0,59,0
282,1,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,99,1
215,4,10,2,0,0,BB,Online TA,0,D,0,No Deposit,0,87.5,0
291,0,4,2,0,0,BB,Online TA,0,A,1,No Deposit,0,55.44,1
269,1,2,2,0,0,BB,Online TA,0,A,1,No Deposit,0,64.8,2
266,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72,1
241,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,99,2
241,2,5,2,0,0,BB,Online TA,0,E,1,No Deposit,0,113,2
259,1,3,2,0,0,HB,Online TA,0,A,3,No Deposit,0,99,2
217,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,65.83,1
217,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,67.54,1
268,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,57.15,1
268,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,55.44,1
234,2,5,2,0,0,BB,Direct,0,A,0,No Deposit,0,69.71,0
221,2,2,2,0,0,BB,Online TA,0,E,0,No Deposit,0,113,1
228,2,5,2,2,0,BB,Online TA,0,G,0,No Deposit,0,147,1
273,2,5,2,0,0,BB,Direct,0,D,0,No Deposit,0,77.64,1
300,2,5,2,0,0,BB,Online TA,0,G,0,No Deposit,0,121.5,1
273,2,5,2,0,0,BB,Direct,0,D,0,No Deposit,0,77.64,1
246,2,7,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72,1
241,2,6,2,0,0,BB,Online TA,0,D,0,No Deposit,0,85.5,1
241,2,6,2,0,0,BB,Online TA,0,D,0,No Deposit,0,85.5,1
267,2,4,1,0,0,BB,Direct,0,A,0,No Deposit,0,60.35,1
267,2,4,1,0,0,BB,Direct,0,A,0,No Deposit,0,60.35,1
244,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,84,1
271,1,5,2,0,1,Undefined,Direct,0,D,1,No Deposit,0,156.75,0
294,0,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,64.8,1
227,2,5,2,0,0,BB,Online TA,0,D,0,No Deposit,0,85.5,1
237,2,7,2,2,0,BB,Online TA,0,G,0,No Deposit,0,135,3
237,2,7,2,2,0,BB,Online TA,0,G,0,No Deposit,0,141.67,2
286,1,3,2,0,0,BB,Online TA,0,D,1,No Deposit,0,85.5,2
286,1,3,2,0,0,BB,Online TA,0,A,1,No Deposit,0,73.5,2
232,4,10,2,0,0,BB,Online TA,0,A,0,No Deposit,0,76.5,2
232,4,10,2,0,0,BB,Online TA,0,D,0,No Deposit,0,90,2
229,2,5,2,0,0,BB,Online TA,0,E,0,No Deposit,0,100.29,2
285,4,10,2,0,0,BB,Online TA,0,G,0,No Deposit,0,126.64,0
241,4,10,3,1,0,BB,Online TA,0,H,0,No Deposit,0,150.71,0
3,1,0,1,0,0,BB,Online TA,0,A,0,No Deposit,0,120,1
227,2,2,2,1,0,HB,Direct,0,D,0,No Deposit,0,145.25,2
290,3,7,3,0,0,BB,Direct,0,G,1,No Deposit,0,120.16,0
237,2,8,1,0,0,BB,Online TA,0,A,1,No Deposit,0,60.29,3
237,2,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,60.29,3
237,2,8,2,0,0,BB,Online TA,0,A,0,No Deposit,0,60.29,3
254,2,2,3,1,0,BB,Direct,0,G,0,No Deposit,0,135.25,0
0,2,7,2,0,0,BB,Online TA,0,A,0,No Deposit,0,83,2
241,0,1,2,1,0,BB,Online TA,0,A,0,No Deposit,0,110,1
236,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,81,2
256,1,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,93,1
317,1,3,2,2,0,HB,Online TA,0,C,1,No Deposit,0,163.2,1
317,1,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72.9,2
317,2,5,2,0,0,BB,Online TA,0,A,1,No Deposit,0,101,3
240,2,3,2,0,0,HB,Online TA,0,A,0,No Deposit,0,108,1
323,2,5,3,1,0,BB,Direct,0,H,0,No Deposit,0,131.75,0
272,2,5,2,2,0,BB,Online TA,0,G,0,No Deposit,0,142.5,0
290,4,8,2,0,0,BB,Online TA,0,D,0,No Deposit,0,93.77,1
303,4,10,2,0,0,BB,Online TA,0,A,0,No Deposit,0,85.05,2
292,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72.9,2
292,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72.9,2
292,1,0,2,0,0,BB,Online TA,0,A,0,No Deposit,0,72.9,2
276,1,4,2,2,0,BB,Online TA,0,G,0,No Deposit,0,142.5,0
309,0,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,84.9,2
298,2,7,2,0,0,BB,Online TA,0,E,0,No Deposit,0,127.5,1
259,2,5,2,0,0,HB,Online TA,0,A,1,No Deposit,0,123.43,2
266,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,97.2,2
266,0,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,100.2,2
284,2,3,2,0,0,BB,Online TA,0,E,0,No Deposit,0,169.5,1
301,2,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,128,2
147,2,6,2,0,0,HB,Direct,0,E,0,No Deposit,0,165,3
292,2,3,1,0,0,BB,Direct,0,D,2,No Deposit,0,136,0
322,2,4,2,0,0,BB,Online TA,0,A,0,No Deposit,0,128,1
292,4,9,2,1,0,BB,Online TA,0,E,0,No Deposit,0,132.17,1
324,1,2,2,0,0,BB,Online TA,0,A,0,No Deposit,0,128,1
150,2,5,3,0,0,HB,Direct,0,C,0,No Deposit,0,204,3
285,1,3,2,2,0,BB,Direct,0,G,0,No Deposit,0,153.25,1
285,1,3,2,2,0,BB,Direct,0,G,0,No Deposit,0,165.25,1
274,0,5,2,0,0,BB,Online TA,0,A,0,No Deposit,0,126,0
329,1,3,3,0,0,BB,Direct,0,A,0,No Deposit,0,172,1
346,1,4,2,1,0,BB,Online TA,0,G,1,No Deposit,0,216,1
278,1,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,159.5,1
304,0,1,2,2,0,BB,Online TA,0,G,0,No Deposit,0,216,1
291,1,2,2,0,0,BB,Online TA,0,A,1,No Deposit,0,126,2
291,1,2,2,0,0,BB,Online TA,0,A,1,No Deposit,0,126,2
291,1,2,2,0,0,BB,Online TA,0,A,1,No Deposit,0,126,2
291,1,2,3,1,0,BB,Online TA,0,H,1,No Deposit,0,236.67,2
291,1,2,2,0,0,BB,Online TA,0,A,1,No Deposit,0,126,2
348,1,3,2,1,0,BB,Online TA,0,A,0,No Deposit,0,140.16,2
292,0,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,169.5,1
43,0,3,2,0,0,HB,Direct,0,D,3,No Deposit,0,239.1,0
223,2,3,2,0,0,HB,Direct,0,A,2,No Deposit,0,153,0
304,3,6,2,0,0,HB,Online TA,0,A,0,No Deposit,0,120,1
330,2,4,2,1,0,BB,Online TA,0,A,0,No Deposit,0,95.16,2
320,1,2,4,0,0,BB,Direct,0,H,0,No Deposit,0,161.75,0
304,3,5,2,0,1,BB,Online TA,0,A,1,No Deposit,0,81,2
363,2,5,2,0,0,BB,Online TA,0,G,0,No Deposit,0,112.48,0
311,1,0,2,0,0,BB,Online TA,0,E,0,No Deposit,0,120,0
229,1,4,2,0,0,BB,Online TA,0,E,0,No Deposit,0,114,1
2,1,0,2,0,0,BB,Direct,0,F,0,No Deposit,0,100,1
8,0,2,2,0,0,HB,Direct,0,F,1,No Deposit,0,129,0
14,0,2,3,0,0,BB,Direct,0,A,2,No Deposit,0,68,1
16,0,2,2,0,0,BB,Direct,0,A,1,No Deposit,0,44,0
12,0,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,44,0
108,4,7,2,0,0,BB,Online TA,0,E,2,No Deposit,0,85,5
0,0,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,76,2
66,4,6,2,0,0,HB,Direct,0,E,1,No Deposit,0,115,2
183,3,7,2,1,0,HB,Direct,0,E,1,No Deposit,0,194.5,1
186,4,6,3,0,0,HB,Direct,1,E,0,No Deposit,0,248.1,1
118,4,10,2,0,0,BB,Direct,0,E,3,No Deposit,0,80,1
1,0,1,1,0,0,BB,Direct,2,A,0,No Deposit,0,80,3
32,2,4,2,0,0,BB,Direct,1,D,1,No Deposit,0,129.5,2
137,2,3,2,0,0,BB,Direct,2,E,3,No Deposit,0,171,3
105,0,3,2,0,0,HB,Direct,1,E,0,No Deposit,0,70.15,2
105,0,3,2,0,0,HB,Direct,1,E,0,No Deposit,0,169.48,2
52,1,2,2,0,0,BB,Direct,3,E,0,No Deposit,0,93.67,2
81,1,1,2,0,0,BB,Direct,4,E,0,No Deposit,0,217.5,2
89,1,1,2,0,0,BB,Direct,5,E,0,No Deposit,0,90,2
1,0,1,1,0,0,BB,Online TA,0,A,0,No Deposit,0,56,1
78,1,1,2,0,0,BB,Direct,0,F,1,No Deposit,0,150,2
110,3,10,2,0,0,BB,Direct,1,E,1,No Deposit,0,196,3
134,2,10,2,0,0,BB,Direct,2,F,0,No Deposit,0,223.5,4
9,1,3,2,0,0,HB,Direct,0,G,2,No Deposit,0,205,0
0,1,1,1,0,0,BB,Direct,0,E,0,No Deposit,0,72,1
0,1,0,2,0,0,BB,Direct,0,A,0,No Deposit,0,44,0
0,1,0,2,0,0,BB,Direct,1,A,0,No Deposit,0,56,1
2,0,2,2,0,0,BB,Direct,1,G,0,No Deposit,0,50,0
1,0,2,1,0,0,BB,Direct,2,G,1,No Deposit,0,50,0
1,1,2,1,0,0,BB,Direct,3,A,0,No Deposit,0,50,1
0,0,2,2,0,0,BB,Direct,4,D,0,No Deposit,0,60,3
8,0,2,1,0,0,BB,Direct,5,F,0,No Deposit,0,50,3
5,3,5,1,0,0,SC,Direct,6,F,3,No Deposit,0,0,3
3,0,1,1,0,0,BB,Direct,2,A,0,No Deposit,0,71,0
2,0,1,2,0,0,BB,Direct,3,A,0,No Deposit,0,56.4,0
1,0,1,1,0,0,BB,Online TA,5,A,0,No Deposit,0,90.8,0
0,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,40,0
5,1,1,2,0,0,BB,Direct,0,A,0,No Deposit,0,139,2
0,1,1,2,0,0,BB,Direct,0,E,0,No Deposit,0,60,0
16,2,4,2,0,0,BB,Direct,0,F,0,No Deposit,0,152.1,0
131,3,6,2,1,0,BB,Direct,0,C,0,No Deposit,0,0,0
2,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,72,0
236,4,10,2,0,0,BB,Online TA,0,E,0,No Deposit,0,138,2
66,4,8,1,0,0,BB,Direct,0,A,3,No Deposit,0,53,1
112,5,10,1,0,0,BB,Direct,1,A,0,No Deposit,0,56,1
151,2,7,2,0,0,BB,Direct,0,G,0,No Deposit,0,171.2,0
89,2,2,2,0,0,BB,Direct,1,G,1,No Deposit,0,161,0
136,2,7,2,0,0,BB,Direct,2,E,0,No Deposit,0,188,2
172,2,2,2,0,0,BB,Direct,3,G,0,No Deposit,0,179,1
157,2,7,2,0,0,BB,Direct,4,E,0,No Deposit,0,209.4,4
2,2,1,2,1,0,BB,Online TA,0,A,1,No Deposit,0,63,1
245,4,12,2,0,0,BB,Direct,1,E,0,No Deposit,0,70,0
11,0,1,1,0,0,BB,Online TA,0,A,0,No Deposit,0,34.4,0
0,0,1,1,0,0,BB,Direct,0,A,0,No Deposit,0,43,0
0,0,1,1,0,0,BB,Online TA,1,A,0,No Deposit,0,43,0
122,3,6,1,0,0,BB,Direct,0,A,0,No Deposit,0,133,3
